iter	Passed	Remaining
876	13715	25381
877	13718	25342
878	13729	25319
879	13733	25282
880	13761	25289
881	13785	25289
882	13799	25271
883	13811	25248
884	13839	25254
885	13863	25254
886	13883	25247
887	13900	25234
888	13913	25212
889	13928	25196
890	13937	25168
891	13954	25155
892	13969	25138
893	13982	25117
894	13994	25095
895	14008	25077
896	14035	25083
897	14041	25049
898	14049	25021
899	14052	24982
900	14070	24971
901	14085	24954
902	14101	24938
903	14106	24905
904	14121	24888
905	14133	24865
906	14141	24837
907	14168	24841
908	14182	24823
909	14194	24801
910	14211	24787
911	14220	24761
912	14240	24753
913	14255	24737
914	14270	24720
915	14289	24709
916	14317	24716
917	14332	24698
918	14338	24667
919	14351	24647
920	14360	24620
921	14375	24603
922	14393	24591
923	14405	24571
924	14418	24550
925	14439	24544
926	14454	24526
927	14471	24514
928	14480	24486
929	14492	24465
930	14512	24457
931	14520	24430
932	14542	24424
933	14559	24411
934	14576	24397
935	14587	24375
936	14602	24358
937	14615	24338
938	14618	24302
939	14630	24281
940	14640	24255
941	14649	24229
942	14667	24217
943	14678	24194
944	14696	24182
945	14705	24155
946	14716	24133
947	14728	24113
948	14740	24091
949	14751	24068
950	14772	24061
951	14781	24035
952	14807	24036
953	14838	24047
954	14856	24035
955	14875	24024
956	14895	24016
957	14914	24006
958	14932	23994
959	14941	23968
960	14953	23946
961	14968	23931
962	14988	23922
963	15006	23910
964	15028	23905
965	15040	23884
966	15052	23863
967	15067	23846
968	15076	23820
969	15096	23811
970	15112	23797
971	15131	23787
972	15146	23769
973	15161	23754
974	15192	23761
975	15206	23744
976	15227	23736
977	15265	23756
978	15281	23742
979	15284	23705
980	15294	23682
981	15308	23663
982	15329	23657
983	15357	23660
984	15367	23635
985	15378	23613
986	15393	23597
987	15417	23593
988	15426	23568
989	15438	23547
990	15452	23530
991	15470	23517
992	15486	23502
993	15501	23485
994	15502	23448
995	15511	23422
996	15527	23407
997	15542	23391
998	15566	23389
999	15584	23376
1000	15599	23360
1001	15614	23343
1002	15625	23321
1003	15634	23295
1004	15643	23270
1005	15659	23256
1006	15674	23238
1007	15688	23221
1008	15700	23200
1009	15705	23170
1010	15712	23140
1011	15723	23118
1012	15739	23104
1013	15751	23083
1014	15768	23070
1015	15777	23045
1016	15789	23024
1017	15797	22997
1018	15800	22963
1019	15808	22937
1020	15827	22927
1021	15838	22906
1022	15844	22876
1023	15856	22855
1024	15874	22843
1025	15889	22827
1026	15909	22818
1027	15925	22804
1028	15940	22788
1029	15970	22792
1030	15990	22783
1031	15998	22758
1032	16013	22741
1033	16019	22712
1034	16036	22699
1035	16046	22675
1036	16063	22662
1037	16078	22646
1038	16092	22629
1039	16098	22599
1040	16129	22606
1041	16143	22589
1042	16155	22568
1043	16173	22556
1044	16194	22548
1045	16202	22522
1046	16214	22502
1047	16226	22481
1048	16243	22467
1049	16254	22447
1050	16266	22425
1051	16276	22404
1052	16294	22391
1053	16329	22402
1054	16342	22383
1055	16357	22368
1056	16373	22352
1057	16392	22342
1058	16404	22322
1059	16417	22302
1060	16431	22285
1061	16443	22265
1062	16455	22244
1063	16463	22220
1064	16472	22195
1065	16483	22174
1066	16499	22159
1067	16508	22134
1068	16525	22121
1069	16533	22096
1070	16543	22073
1071	16559	22059
1072	16571	22039
1073	16580	22014
1074	16594	21997
1075	16606	21977
1076	16616	21954
1077	16636	21944
1078	16654	21932
1079	16662	21908
1080	16677	21892
1081	16689	21872
1082	16703	21854
1083	16716	21836
1084	16733	21823
1085	16743	21800
1086	16778	21810
1087	16790	21791
1088	16808	21778
1089	16823	21762
1090	16834	21741
1091	16849	21725
1092	16869	21715
1093	16875	21687
1094	16893	21676
1095	16908	21660
1096	16923	21643
1097	16938	21628
1098	16951	21610
1099	16978	21608
1100	16985	21582
1101	17001	21567
1102	17025	21563
1103	17036	21543
1104	17060	21537
1105	17073	21519
1106	17084	21498
1107	17120	21509
1108	17129	21485
1109	17138	21461
1110	17149	21441
1111	17168	21429
1112	17180	21409
1113	17192	21390
1114	17216	21385
1115	17236	21375
1116	17241	21347
1117	17253	21327
1118	17277	21323
1119	17286	21299
1120	17301	21282
1121	17309	21259
1122	17324	21243
1123	17345	21233
1124	17365	21224
1125	17380	21208
1126	17395	21193
1127	17410	21176
1128	17418	21152
1129	17437	21141
1130	17452	21124
1131	17467	21109
1132	17482	21093
1133	17497	21076
1134	17511	21059
1135	17524	21041
1136	17534	21019
1137	17552	21007
1138	17566	20989
1139	17578	20970
1140	17595	20957
1141	17612	20944
1142	17624	20924
1143	17633	20900
1144	17668	20908
1145	17682	20892
1146	17697	20875
1147	17716	20864
1148	17733	20851
1149	17747	20834
1150	17759	20814
1151	17768	20791
1152	17776	20767
1153	17788	20748
1154	17799	20728
1155	17822	20720
1156	17842	20711
1157	17851	20687
1158	17869	20676
1159	17881	20656
1160	17897	20641
1161	17913	20626
1162	17931	20614
1163	17945	20597
1164	17960	20581
1165	17973	20562
1166	17987	20546
1167	18010	20538
1168	18024	20522
1169	18041	20509
1170	18050	20486
1171	18066	20470
1172	18071	20444
1173	18080	20421
1174	18092	20401
1175	18106	20385
1176	18119	20367
1177	18125	20341
1178	18140	20325
1179	18149	20302
1180	18161	20283
1181	18176	20267
1182	18186	20246
1183	18198	20227
1184	18216	20215
1185	18225	20192
1186	18240	20177
1187	18253	20158
1188	18259	20133
1189	18271	20114
1190	18277	20088
1191	18290	20070
1192	18302	20051
1193	18314	20032
1194	18324	20011
1195	18344	20001
1196	18358	19984
1197	18370	19965
1198	18389	19953
1199	18405	19939
1200	18421	19924
1201	18438	19911
1202	18447	19888
1203	18458	19868
1204	18467	19846
1205	18484	19833
1206	18495	19813
1207	18511	19799
1208	18526	19782
1209	18556	19783
1210	18571	19767
1211	18587	19752
1212	18590	19724
1213	18608	19712
1214	18614	19687
1215	18626	19667
1216	18641	19651
1217	18658	19638
1218	18670	19620
1219	18676	19594
1220	18690	19578
1221	18711	19568
1222	18720	19546
1223	18742	19538
1224	18754	19520
1225	18766	19501
1226	18780	19484
1227	18792	19465
1228	18801	19443
1229	18818	19430
1230	18835	19417
1231	18844	19395
1232	18863	19383
1233	18883	19373
1234	18891	19350
1235	18904	19332
1236	18912	19310
1237	18929	19296
1238	18949	19285
1239	18960	19266
1240	18979	19254
1241	18993	19238
1242	19002	19216
1243	19016	19200
1244	19031	19184
1245	19046	19169
1246	19066	19158
1247	19087	19148
1248	19107	19138
1249	19119	19119
1250	19134	19103
1251	19150	19088
1252	19158	19066
1253	19176	19053
1254	19193	19040
1255	19220	19037
1256	19233	19019
1257	19242	18997
1258	19262	18986
1259	19273	18967
1260	19286	18949
1261	19298	18931
1262	19310	18912
1263	19318	18890
1264	19334	18876
1265	19343	18854
1266	19355	18836
1267	19369	18819
1268	19375	18795
1269	19392	18782
1270	19401	18760
1271	19413	18742
1272	19419	18717
1273	19427	18695
1274	19447	18684
1275	19462	18669
1276	19471	18648
1277	19476	18623
1278	19477	18594
1279	19495	18581
1280	19503	18559
1281	19515	18541
1282	19542	18536
1283	19554	18519
1284	19563	18498
1285	19584	18487
1286	19596	18469
1287	19618	18460
1288	19640	18451
1289	19649	18431
1290	19661	18412
1291	19679	18400
1292	19692	18382
1293	19701	18361
1294	19715	18345
1295	19733	18333
1296	19748	18317
1297	19759	18298
1298	19762	18271
1299	19781	18260
1300	19790	18239
1301	19806	18224
1302	19825	18212
1303	19841	18198
1304	19850	18177
1305	19876	18171
1306	19894	18159
1307	19911	18145
1308	19920	18124
1309	19934	18108
1310	19937	18082
1311	19952	18066
1312	19954	18039
1313	19959	18015
1314	19983	18008
1315	20008	18001
1316	20026	17988
1317	20061	17991
1318	20072	17972
1319	20087	17956
1320	20107	17946
1321	20116	17925
1322	20135	17913
1323	20156	17903
1324	20169	17886
1325	20178	17865
1326	20190	17847
1327	20200	17827
1328	20222	17818
1329	20246	17811
1330	20266	17800
1331	20284	17787
1332	20299	17771
1333	20314	17756
1334	20327	17738
1335	20337	17718
1336	20350	17701
1337	20365	17686
1338	20389	17679
1339	20416	17674
1340	20428	17656
1341	20440	17637
1342	20451	17619
1343	20460	17598
1344	20469	17577
1345	20478	17557
1346	20502	17549
1347	20517	17534
1348	20532	17518
1349	20540	17497
1350	20549	17477
1351	20555	17453
1352	20598	17462
1353	20613	17446
1354	20628	17431
1355	20640	17413
1356	20649	17393
1357	20662	17375
1358	20670	17354
1359	20679	17333
1360	20691	17315
1361	20709	17303
1362	20727	17290
1363	20733	17267
1364	20741	17246
1365	20753	17228
1366	20762	17208
1367	20779	17194
1368	20791	17176
1369	20806	17161
1370	20825	17149
1371	20839	17133
1372	20851	17115
1373	20866	17100
1374	20879	17083
1375	20902	17074
1376	20919	17060
1377	20934	17045
1378	20942	17024
1379	20948	17001
1380	20956	16980
1381	20965	16960
1382	20986	16949
1383	21000	16933
1384	21007	16912
1385	21022	16896
1386	21028	16874
1387	21040	16856
1388	21052	16838
1389	21069	16825
1390	21088	16813
1391	21102	16797
1392	21120	16784
1393	21126	16762
1394	21135	16741
1395	21144	16721
1396	21153	16701
1397	21161	16681
1398	21176	16665
1399	21206	16662
1400	21230	16654
1401	21250	16642
1402	21265	16627
1403	21280	16612
1404	21291	16593
1405	21313	16583
1406	21331	16571
1407	21341	16551
1408	21354	16534
1409	21363	16514
1410	21377	16498
1411	21383	16476
1412	21399	16462
1413	21408	16442
1414	21420	16424
1415	21435	16409
1416	21461	16402
1417	21489	16397
1418	21500	16379
1419	21534	16378
1420	21550	16363
1421	21562	16346
1422	21570	16325
1423	21588	16312
1424	21597	16292
1425	21609	16275
1426	21655	16283
1427	21657	16258
1428	21660	16233
1429	21676	16219
1430	21689	16202
1431	21698	16182
1432	21715	16169
1433	21746	16165
1434	21760	16150
1435	21775	16134
1436	21787	16116
1437	21798	16098
1438	21807	16079
1439	21825	16065
1440	21842	16052
1441	21850	16032
1442	21865	16016
1443	21894	16011
1444	21909	15996
1445	21921	15978
1446	21930	15959
1447	21945	15943
1448	21954	15923
1449	21968	15908
1450	21977	15888
1451	21997	15877
1452	22012	15861
1453	22038	15854
1454	22045	15833
1455	22075	15828
1456	22093	15815
1457	22108	15800
1458	22125	15786
1459	22142	15773
1460	22160	15759
1461	22172	15742
1462	22179	15721
1463	22200	15710
1464	22206	15688
1465	22224	15675
1466	22233	15656
1467	22236	15632
1468	22241	15609
1469	22252	15591
1470	22263	15574
1471	22276	15557
1472	22298	15547
1473	22317	15534
1474	22332	15519
1475	22344	15501
1476	22364	15490
1477	22374	15471
1478	22379	15449
1479	22404	15440
1480	22415	15423
1481	22427	15405
1482	22433	15384
1483	22445	15366
1484	22456	15349
1485	22458	15325
1486	22470	15307
1487	22479	15288
1488	22496	15274
1489	22513	15260
1490	22527	15245
1491	22545	15231
1492	22564	15219
1493	22576	15202
1494	22598	15191
1495	22610	15174
1496	22626	15159
1497	22637	15142
1498	22653	15127
1499	22677	15118
1500	22699	15107
1501	22717	15094
1502	22718	15070
1503	22732	15054
1504	22746	15038
1505	22757	15020
1506	22772	15005
1507	22783	14987
1508	22816	14983
1509	22835	14971
1510	22841	14950
1511	22860	14937
1512	22873	14921
1513	22876	14898
1514	22888	14881
1515	22903	14865
1516	22922	14853
1517	22933	14835
1518	22944	14818
1519	22960	14803
1520	22977	14789
1521	22991	14773
1522	23010	14760
1523	23031	14749
1524	23044	14733
1525	23054	14714
1526	23068	14699
1527	23095	14691
1528	23101	14670
1529	23115	14654
1530	23123	14635
1531	23141	14621
1532	23152	14604
1533	23162	14586
1534	23177	14570
1535	23188	14553
1536	23197	14534
1537	23210	14517
1538	23241	14512
1539	23257	14498
1540	23272	14482
1541	23278	14462
1542	23300	14451
1543	23318	14438
1544	23340	14427
1545	23360	14415
1546	23377	14401
1547	23395	14388
1548	23420	14378
1549	23432	14361
1550	23443	14344
1551	23455	14327
1552	23463	14308
1553	23485	14296
1554	23497	14279
1555	23517	14267
1556	23529	14250
1557	23557	14243
1558	23581	14233
1559	23592	14215
1560	23598	14195
1561	23609	14177
1562	23621	14161
1563	23636	14145
1564	23663	14137
1565	23673	14119
1566	23686	14102
1567	23702	14088
1568	23718	14073
1569	23733	14058
1570	23744	14041
1571	23765	14029
1572	23812	14033
1573	23839	14024
1574	23856	14010
1575	23878	14000
1576	23898	13987
1577	23915	13973
1578	23932	13959
1579	23954	13948
1580	23973	13935
1581	23989	13920
1582	24006	13906
1583	24020	13890
1584	24039	13877
1585	24058	13864
1586	24080	13853
1587	24094	13837
1588	24109	13822
1589	24126	13808
1590	24139	13792
1591	24156	13777
1592	24170	13762
1593	24179	13743
1594	24190	13725
1595	24204	13709
1596	24213	13691
1597	24231	13677
1598	24239	13658
1599	24245	13638
1600	24253	13619
1601	24265	13602
1602	24279	13586
1603	24302	13575
1604	24318	13560
1605	24331	13544
1606	24346	13529
1607	24364	13515
1608	24378	13499
1609	24392	13484
1610	24406	13468
1611	24421	13452
1612	24438	13438
1613	24446	13420
1614	24458	13402
1615	24460	13380
1616	24468	13361
1617	24485	13347
1618	24502	13333
1619	24513	13316
1620	24519	13295
1621	24534	13280
1622	24552	13266
1623	24563	13249
1624	24572	13231
1625	24580	13212
1626	24601	13200
1627	24616	13185
1628	24630	13169
1629	24640	13151
1630	24649	13133
1631	24666	13119
1632	24685	13106
1633	24707	13094
1634	24722	13079
1635	24734	13062
1636	24749	13047
1637	24769	13035
1638	24790	13022
1639	24804	13007
1640	24816	12990
1641	24827	12973
1642	24845	12959
1643	24863	12945
1644	24874	12928
1645	24884	12910
1646	24892	12892
1647	24904	12875
1648	24921	12861
1649	24936	12846
1650	24948	12829
1651	24959	12812
1652	24975	12797
1653	24984	12779
1654	24993	12761
1655	24999	12741
1656	25010	12724
1657	25024	12708
1658	25036	12691
1659	25048	12675
1660	25063	12659
1661	25081	12646
1662	25096	12631
1663	25112	12616
1664	25124	12599
1665	25132	12581
1666	25140	12562
1667	25149	12544
